業,種 目,,,,,,,,,A(株価),,,
造業,,,,,,,,,,,,,
発電用・送電,,,,,,,,,,,,,
用・配電用電,,,,,,,,,,,,,
424気機械器具製,,44,6.3,35,382,353,350,359,382,413 356,350,382,413
造業,,,,,,,,,,,,,
電気計測器製,,,,,,,,,,,,,
271造業,,45,3.8,19,163,258,250,282,277,274 259,250,277,274
その他の電気,,,,,,,,,,,,,
機械器具製造,,46,4.6,39,249,397,381,409,450,507 396,381,450,507 499
業,,,,,,,,,,,,,
情報通信機械器,,,,,,,,,,,,,
"",,47,4.0,23,227,238,230,262,276,281 240,230,276,281 280
具製造業,,,,,,,,,,,,,
輸送用機械器具,,,,,,,,,,,,,
"",,48,7.8,42,420,252,258,227,226,231 249,258,226,231 232
製造業,,,,,,,,,,,,,
自動車・同附,,,,,,,,,,,,,
223属品製造業,,49,8.7,45,449,250,257,218,216,222 246,257,216,222
その他の輸送,,,,,,,,,,,,,
用機械器具製,,50,3.3,24,279,263,264,269,280,277 262,264,280,277 275
造業,,,,,,,,,,,,,
その他の製造業,,51,7.3,35,329,406,408,398,405,427 406,408,405,427 432
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
電気・ガス・熱供,,,,,,,,,,,,,
"",,52,4.6,24,326,263,260,266,263,266 263,260,263,266 283
給・水道業,,,,,,,,,,,,,
情 報 通 信,業,53,6.4,40,235,766,749,879,912,955 777,749,912,"955 1,016"
情報サービス業,,54,7.2,41,247,699,684,789,795,828 706,684,795,828 856
ソフトウェア業,,55,7.2,43,245,720,710,799,801,835 727,710,801,835 860
情報処理・提,,,,,,,,,,,,,
848供サービス業,,56,7.4,26,195,625,585,769,787,818 635,585,787,818
インターネット附,,,,,,,,,,,,,
"",,57,4.1,42,176,"1,136","1,109","1,345","1,453","1,539 1,160","1,109","1,453","1,539 1,699"
随サービス業,,,,,,,,,,,,,
映像・音声・文字,,,,,,,,,,,,,
"",,58,3.6,21,224,310,316,301,347,371 314,316,347,371 410
情報制作業,,,,,,,,,,,,,
その他の情報通,,,,,,,,,,,,,
"",,59,11.3,44,373,435,408,517,499,488 438,408,499,488 511
信業,,,,,,,,,,,,,
